Unit ID,English_Sen,Arabic_Sen,Franco
4693,"Townhouse For Sale In Vaha 225 SQM, with 4 bedrooms and 4 bathrooms, priced at 16750000 in Mostakbal City","تاون هاوس للبيع فى فاها بمساحة 225 متر ب 4 أوض و 4 حمامات, بسعر 16750000 في مدينة المستقبل",tawn haws lilbi3 fi fiha bmsa7a 225 mtr b 4 2wd w 4 hamamet bs3r 16750000 fi madina elmostakbel
4692,"Standalone Villa For Sale In Vaha 384 SQM, with 6 bedrooms and 7 bathrooms, priced at 37701565 in Mostakbal City","فيلا مستقلة للبيع فى فاها بمساحة 384 متر ب 6 أوض و 7 حمامات, بسعر 37701565 في مدينة المستقبل",fyla mostakilla lilbi3 fi fiha bmsa7a 384 mtr b 6 2wd w 7 hamamet bs3r 37701565 fi madina elmostakbel
4691,"Standalone Villa For Sale In Vaha 283 SQM, with 6 bedrooms and 7 bathrooms, priced at 28197224 in Mostakbal City","فيلا مستقلة للبيع فى فاها بمساحة 283 متر ب 6 أوض و 7 حمامات, بسعر 28197224 في مدينة المستقبل",fyla mostakilla lilbi3 fi fiha bmsa7a 283 mtr b 6 2wd w 7 hamamet bs3r 28197224 fi madina elmostakbel
4690,"Twinhouse For Sale In Safia 225 SQM, with 5 bedrooms and 4 bathrooms, priced at 31500000 in Ras ElHekma","توين هاوس للبيع في صافية 225 متر ب 5 أوض و 4 حمامات, بسعر 31500000 في راس حكمة",twyn haws lilbi3 fi safia 225 mtr b 5 2wd w 4 hamamet bs3r 31500000 fi rass 7ekma
4689,"Townhouse For Sale In Safia 200 SQM, with 3 bedrooms and 4 bathrooms, priced at 25000000 in Ras ElHekma","تاون هاوس للبيع في صافية 200 متر ب 3 أوض و 4 حمامات, بسعر 25000000 في راس حكمة",tawn haws lilbi3 fi safia 200 mtr b 3 2wd w 4 hamamet bs3r 25000000 fi rass 7ekma
4688,"209 SQM, with 5 bedrooms and 6 bathrooms, priced at 33080000 in Ras ElHekma","توين هاوس للبيع في فيلا 209 متر ب 5 أوض و 6 حمامات, بسعر 33080000 في راس حكمة",twyn haws lilbi3 fi fyla 209 mtr b 5 2wd w 6 hamamet bs3r 33080000 fi rass 7ekma
4687,"157 SQM, with 3 bedrooms and 3 bathrooms, priced at 18698000 in Ras ElHekma","شاليه للبيع في ديا 157 متر ب 3 أوض و 3 حمامات, بسعر 18698000 في راس حكمة",shalyh lilbi3 fi dya 157 mtr b 3 2wd w 3 hamamet bs3r 18698000 fi rass 7ekma
4686,"Standalone Villa For Sale In Geo 234 SQM, with 4 bedrooms and 5 bathrooms, priced at 36587000 in Ras ElHekma","فيلا مستقلة للبيع فى جيو بمساحة 234 متر ب 4 أوض و 5 حمامات, بسعر 36587000 في راس حكمة",fyla mostakilla lilbi3 fi gyw bmsa7a 234 mtr b 4 2wd w 5 hamamet bs3r 36587000 fi rass 7ekma
4685,"Chalet For Sale In Geo 281 SQM, with 3 bedrooms and 4 bathrooms, priced at 22747000 in Ras ElHekma","شالية للبيع فى جيو بمساحة 281 متر ب 3 أوض و 4 حمامات, بسعر 22747000 في راس حكمة",shalya lilbi3 fi gyw bmsa7a 281 mtr b 3 2wd w 4 hamamet bs3r 22747000 fi rass 7ekma
4684,"Standalone Villa For Sale In Geo 202 SQM, with 3 bedrooms and 3 bathrooms, priced at 22825000 in Ras ElHekma","فيلا مستقلة للبيع فى جيو بمساحة 202 متر ب 3 أوض و 3 حمامات, بسعر 22825000 في راس حكمة",fyla mostakilla lilbi3 fi gyw bmsa7a 202 mtr b 3 2wd w 3 hamamet bs3r 22825000 fi rass 7ekma
4683,"Chalet For Sale In Geo 140 SQM, with 2 bedrooms and 3 bathrooms, priced at 12935000 in Ras ElHekma","شالية للبيع فى جيو بمساحة 140 متر ب أوضتين و 3 حمامات, بسعر 12935000 في راس حكمة",shalya lilbi3 fi gyw bmsa7a 140 mtr b 2wdtyn w 3 hamamet bs3r 12935000 fi rass 7ekma
4682,"Bank For Sale In Radium 255 SQM, with 4 bedrooms and 4 bathrooms, priced at 73542000 in New Cairo","بنك للبيع في راديوم 255 متر ب 4 أوض و 4 حمامات, بسعر 73542000 في القاهرة الجديدة",bank lilbi3 fi radywm 255 mtr b 4 2wd w 4 hamamet bs3r 73542000 fi al2ahra ejadida
4681,"Bank For Sale In Radium 126 SQM, with bedroom and bathroom, priced at 32445000 in New Cairo","بنك للبيع في راديوم 126 متر ب أوضة و حمام, بسعر 32445000 في القاهرة الجديدة",bank lilbi3 fi radywm 126 mtr b 2wda w hamam bs3r 32445000 fi al2ahra ejadida
4680,"Office For Sale In The Capitalway 60 SQM, with bedroom and bathroom, priced at 8896000 in Madinaty","مكتب ادارى للبيع فى ذا كابيتال واى بمساحة 60 متر ب أوضة و حمام, بسعر 8896000 في ماديناتي",makteb adara lilbi3 fi dha kabytal waa bmsa7a 60 mtr b 2wda w hamam bs3r 8896000 fi madynaty
4679,"Office For Sale In The Capitalway 135 SQM, with 3 bedrooms and 2 bathrooms, priced at 20102000 in Madinaty","مكتب ادارى للبيع فى ذا كابيتال واى بمساحة 135 متر ب 3 أوض و حمامين, بسعر 20102000 في ماديناتي",makteb adara lilbi3 fi dha kabytal waa bmsa7a 135 mtr b 3 2wd w hmamen bs3r 20102000 fi madynaty
4678,"Studio For Sale In Begonia Residence 43 SQM, with bedroom and bathroom, priced at 2800000 in New Cairo","استوديو للبيع فى بيجونيا ريزيدنس بمساحة 43 متر ب أوضة و حمام, بسعر 2800000 في القاهرة الجديدة",astwdyw lilbi3 fi bygwnya ryzydns bmsa7a 43 mtr b 2wda w hamam bs3r 2800000 fi al2ahra ejadida
4677,"Apartment For Sale In Begonia Residence 71 SQM, with bedroom and bathroom, priced at 5300000 in New Cairo","شقة للبيع فى بيجونيا ريزيدنس بمساحة 71 متر ب أوضة و حمام, بسعر 5300000 في القاهرة الجديدة",sh2a lilbi3 fi bygwnya ryzydns bmsa7a 71 mtr b 2wda w hamam bs3r 5300000 fi al2ahra ejadida
4676,"Apartment For Sale In Begonia Residence 184 SQM, with 3 bedrooms and 3 bathrooms, priced at 7900000 in New Cairo","شقة للبيع فى بيجونيا ريزيدنس بمساحة 184 متر ب 3 أوض و 3 حمامات, بسعر 7900000 في القاهرة الجديدة",sh2a lilbi3 fi bygwnya ryzydns bmsa7a 184 mtr b 3 2wd w 3 hamamet bs3r 7900000 fi al2ahra ejadida
4675,"Duplex For Sale In Begonia Residence 240 SQM, with 3 bedrooms and 3 bathrooms, priced at 14500000 in New Cairo","دوبلكس للبيع فى بيجونيا ريزيدنس بمساحة 240 متر ب 3 أوض و 3 حمامات, بسعر 14500000 في القاهرة الجديدة",dwblks lilbi3 fi bygwnya ryzydns bmsa7a 240 mtr b 3 2wd w 3 hamamet bs3r 14500000 fi al2ahra ejadida
4674,"316 SQM, with 4 bedrooms and 4 bathrooms, priced at 50302898 in Ain El Sokhna","بنت هاوس للبيع في كاي السخنة 316 متر ب 4 أوض و 4 حمامات, بسعر 50302898 في العين السخنة",bint haws lilbi3 fi kay als5na 316 mtr b 4 2wd w 4 hamamet bs3r 50302898 fi l3in als5na
4673,"111 SQM, with bedroom and 2 bathrooms, priced at 10910385 in Ain El Sokhna","لوفت للبيع في كاي السخنة 111 متر ب أوضة و حمامين, بسعر 10910385 في العين السخنة",lwft lilbi3 fi kay als5na 111 mtr b 2wda w hmamen bs3r 10910385 fi l3in als5na
4672,"74 SQM, with bedroom and bathroom, priced at 8978938 in Ain El Sokhna","ستوديو للبيع في كاي السخنة 74 متر ب أوضة و حمام, بسعر 8978938 في العين السخنة",stwdyw lilbi3 fi kay als5na 74 mtr b 2wda w hamam bs3r 8978938 fi l3in als5na
4671,"Penthouse For Sale In The Amaia 251 SQM, with 3 bedrooms and 4 bathrooms, priced at 49727830 in New Cairo","بنت هاوس للبيع في ذا امايا 251 متر ب 3 أوض و 4 حمامات, بسعر 49727830 في القاهرة الجديدة",bint haws lilbi3 fi dha amaya 251 mtr b 3 2wd w 4 hamamet bs3r 49727830 fi al2ahra ejadida
4670,"Penthouse For Sale In The Amaia 434 SQM, with 4 bedrooms and 6 bathrooms, priced at 71634628 in New Cairo","بنت هاوس للبيع في ذا امايا 434 متر ب 4 أوض و 6 حمامات, بسعر 71634628 في القاهرة الجديدة",bint haws lilbi3 fi dha amaya 434 mtr b 4 2wd w 6 hamamet bs3r 71634628 fi al2ahra ejadida
4669,"Apartment For Sale In The Amaia 291 SQM, with 4 bedrooms and 4 bathrooms, priced at 47425684 in New Cairo","شقة للبيع في ذا أمايا 291 متر ب 4 أوض و 4 حمامات, بسعر 47425684 في القاهرة الجديدة",sh2a lilbi3 fi dha 2maya 291 mtr b 4 2wd w 4 hamamet bs3r 47425684 fi al2ahra ejadida
4668,"231 SQM, with 3 bedrooms and 3 bathrooms, priced at 35981000 in New Alamein","شقة للبيع في ابراج نورث ايدج العلمين 231 متر ب 3 أوض و 3 حمامات, بسعر 35981000 في العلمين الجديدة",sh2a lilbi3 fi abrag nwrs aydg al3lmyn 231 mtr b 3 2wd w 3 hamamet bs3r 35981000 fi al3lmyn ejadida
4667,"Penthouse For Sale In The Phoenix 294 SQM, with 4 bedrooms and 4 bathrooms, priced at 40567543 in New Cairo","بنت هاوس للبيع في ذا فيونيكس 294 متر ب 4 أوض و 4 حمامات, بسعر 40567543 في القاهرة الجديدة",bint haws lilbi3 fi dha fywnyks 294 mtr b 4 2wd w 4 hamamet bs3r 40567543 fi al2ahra ejadida
4666,"Townhouse For Sale In Talda 295 SQM, with 3 bedrooms and 4 bathrooms, priced at 22842201 in Madinaty","تاون هاوس للبيع فى تالدا بمساحة 295 متر ب 3 أوض و 4 حمامات, بسعر 22842201 في ماديناتي",tawn haws lilbi3 fi talda bmsa7a 295 mtr b 3 2wd w 4 hamamet bs3r 22842201 fi madynaty
4665,"Standalone Villa For Sale In At East 370 SQM, with 5 bedrooms and 6 bathrooms, priced at 47752000 in Madinaty","فيلا مستقلة للبيع فى ات ايست بمساحة 370 متر ب 5 أوض و 6 حمامات, بسعر 47752000 في ماديناتي",fyla mostakilla lilbi3 fi at ayst bmsa7a 370 mtr b 5 2wd w 6 hamamet bs3r 47752000 fi madynaty
4664,"Duplex For Sale In Sun Capital 185 SQM, with 3 bedrooms and 4 bathrooms, priced at 10016000 in Kerdasa","دوبلكس للبيع فى صن كابيتال بمساحة 185 متر ب 3 أوض و 4 حمامات, بسعر 10016000 في كرداسة",dwblks lilbi3 fi sn kabytal bmsa7a 185 mtr b 3 2wd w 4 hamamet bs3r 10016000 fi krdasa
4663,"Apartment For Sale In The Loft 269 SQM, with 3 bedrooms and 3 bathrooms, priced at 12728292 in Madinaty","شقة للبيع في ذا لوفت 269 متر ب 3 أوض و 3 حمامات, بسعر 12728292 في ماديناتي",sh2a lilbi3 fi dha lwft 269 mtr b 3 2wd w 3 hamamet bs3r 12728292 fi madynaty
4662,"Retail For Sale In Downtown 2, with bedroom and bathroom, priced at 7251020 in Madinaty","محل تجارى للبيع فى داون تاون 2 ب أوضة و حمام, بسعر 7251020 في ماديناتي",mahal tgara lilbi3 fi dawn tawn 2 b 2wda w hamam bs3r 7251020 fi madynaty
4661,"Retail For Sale In Downtown 2, with bedroom and bathroom, priced at 26666667 in Madinaty","محل تجارى للبيع فى داون تاون مول 2 ب أوضة و حمام, بسعر 26666667 في ماديناتي",mahal tgara lilbi3 fi dawn tawn mwl 2 b 2wda w hamam bs3r 26666667 fi madynaty
4660,"Office For Sale In Striple Mall 43 SQM, with bedroom and bathroom, priced at 3748500 in Madinaty","مكتب ادارى للبيع فى ستربيل مول 43 متر ب أوضة و حمام, بسعر 3748500 في ماديناتي",makteb adara lilbi3 fi strbyl mwl 43 mtr b 2wda w hamam bs3r 3748500 fi madynaty
4659,"Office For Sale In Striple Mall 48 SQM, with bedroom and bathroom, priced at 6030467 in Madinaty","مكتب ادارى للبيع فى ستربيل مول 48 متر ب أوضة و حمام, بسعر 6030467 في ماديناتي",makteb adara lilbi3 fi strbyl mwl 48 mtr b 2wda w hamam bs3r 6030467 fi madynaty
4658,"Clinic For Sale In Spinner Mall 45 SQM, with bedroom and bathroom, priced at 3630000 in Masr El-Gedida","عيادة طبية  للبيع فى سبينر مول بمساحة 45 متر ب أوضة و حمام, بسعر 3630000 في مصر إلجديدة",3iyedi tebia lilbi3 fi sbynr mwl bmsa7a 45 mtr b 2wda w hamam bs3r 3630000 fi masr 2lgdyda
4657,"Retail For Sale In Spinner Mall 42 SQM, with bedroom and bathroom, priced at 11700000 in Masr El-Gedida","محل تجارى للبيع فى سبينر مول بمساحة 42 متر ب أوضة و حمام, بسعر 11700000 في مصر إلجديدة",mahal tgara lilbi3 fi sbynr mwl bmsa7a 42 mtr b 2wda w hamam bs3r 11700000 fi masr 2lgdyda
4656,"Retail For Sale In Spinner Mall 42 SQM, with bedroom and bathroom, priced at 5370000 in Masr El-Gedida","محل تجارى للبيع فى سبينر مول بمساحة 42 متر ب أوضة و حمام, بسعر 5370000 في مصر إلجديدة",mahal tgara lilbi3 fi sbynr mwl bmsa7a 42 mtr b 2wda w hamam bs3r 5370000 fi masr 2lgdyda
4655,"Office For Sale In Spinner Mall 45 SQM, with bedroom and bathroom, priced at 3100000 in Masr El-Gedida","مكتب ادارى للبيع فى سبينر مول بمساحة 45 متر ب أوضة و حمام, بسعر 3100000 في مصر إلجديدة",makteb adara lilbi3 fi sbynr mwl bmsa7a 45 mtr b 2wda w hamam bs3r 3100000 fi masr 2lgdyda
4654,"Townhouse For Sale In Sheraton Residences 362 SQM, with 3 bedrooms and 4 bathrooms, priced at 48000000 in Madinaty","تاون هاوس للبيع في شيراتون ريسدنس بمساحة 362 متر ب 3 أوض و 4 حمامات, بسعر 48000000 في ماديناتي",tawn haws lilbi3 fi shyratwn rysdns bmsa7a 362 mtr b 3 2wd w 4 hamamet bs3r 48000000 fi madynaty
4653,"Townhouse For Sale In Sheraton Residences 403 SQM, with 3 bedrooms and 4 bathrooms, priced at 53400000 in Madinaty","تاون هاوس للبيع في شيراتون ريسدنس بمساحة 403 متر ب 3 أوض و 4 حمامات, بسعر 53400000 في ماديناتي",tawn haws lilbi3 fi shyratwn rysdns bmsa7a 403 mtr b 3 2wd w 4 hamamet bs3r 53400000 fi madynaty
4652,"Standalone Villa For Sale In Sheraton Residences 166 SQM, with 2 bedrooms and 3 bathrooms, priced at 25300000 in Madinaty","فيلا مستقلة للبيع في شيراتون ريسدنس بمساحة 166 متر ب أوضتين و 3 حمامات, بسعر 25300000 في ماديناتي",fyla mostakilla lilbi3 fi shyratwn rysdns bmsa7a 166 mtr b 2wdtyn w 3 hamamet bs3r 25300000 fi madynaty
4651,"Standalone Villa For Sale In Sheraton Residences 482 SQM, with 4 bedrooms and 5 bathrooms, priced at 71500000 in Madinaty","فيلا مستقلة للبيع في شيراتون ريسدنس بمساحة 482 متر ب 4 أوض و 5 حمامات, بسعر 71500000 في ماديناتي",fyla mostakilla lilbi3 fi shyratwn rysdns bmsa7a 482 mtr b 4 2wd w 5 hamamet bs3r 71500000 fi madynaty
4650,"Twinhouse For Sale In Sheraton Residences 440 SQM, with 4 bedrooms and 4 bathrooms, priced at 60700000 in Madinaty","توين هاوس للبيع فى شيراتون ريسدنس بمساحة 440 متر ب 4 أوض و 4 حمامات, بسعر 60700000 في ماديناتي",twyn haws lilbi3 fi shyratwn rysdns bmsa7a 440 mtr b 4 2wd w 4 hamamet bs3r 60700000 fi madynaty
4649,"Office For Sale In Central Point 39 SQM, with bedroom and bathroom, priced at 4848644 in Madinaty","مكتب ادارى للبيع فى سنترال بوينت بمساحة 39 متر ب أوضة و حمام, بسعر 4848644 في ماديناتي",makteb adara lilbi3 fi sntral bwynt bmsa7a 39 mtr b 2wda w hamam bs3r 4848644 fi madynaty
4648,"Office For Sale In 88 Hub Mall 42 SQM, with bedroom and bathroom, priced at 5040000 in Madinaty","مكتب ادارى  للبيع فى هاب 88 مول بمساحة 42 متر ب أوضة و حمام, بسعر 5040000 في ماديناتي",makteb adara lilbi3 fi hab 88 mwl bmsa7a 42 mtr b 2wda w hamam bs3r 5040000 fi madynaty
4647,"282 SQM, with 4 bedrooms and 4 bathrooms, priced at 24560029 in New Cairo","دوبلكس للبيع في بافيليون 282 متر ب 4 أوض و 4 حمامات, بسعر 24560029 في القاهرة الجديدة",dwblks lilbi3 fi bafylywn 282 mtr b 4 2wd w 4 hamamet bs3r 24560029 fi al2ahra ejadida
4646,"Twinhouse For Sale In Park Valley Elite 245 SQM, with 3 bedrooms and 4 bathrooms, priced at 6500000 in 6th of October","توين هاوس للبيع فى بارك فالى ايليت بمساحة 245 متر ب 3 أوض و 4 حمامات, بسعر 6500000 في 6 أكتوبر",twyn haws lilbi3 fi barek fala aylyt bmsa7a 245 mtr b 3 2wd w 4 hamamet bs3r 6500000 fi 6 2ktwbr
4645,"Twinhouse For Sale In Park Valley Royal 230 SQM, with 4 bedrooms and 4 bathrooms, priced at 6500000 in 6th of October","توين هاوس للبيع فى بارك فالى رويال بمساحة 230 متر ب 4 أوض و 4 حمامات, بسعر 6500000 في 6 أكتوبر",twyn haws lilbi3 fi barek fala rwyal bmsa7a 230 mtr b 4 2wd w 4 hamamet bs3r 6500000 fi 6 2ktwbr
4644,"Standalone Villa For Sale In Park Valley Royal 280 SQM, with 5 bedrooms and 5 bathrooms, priced at 7500000 in 6th of October","فيلا مستقلة للبيع فى بارك فالى رويال بمساحة 280 متر ب 5 أوض و 5 حمامات, بسعر 7500000 في 6 أكتوبر",fyla mostakilla lilbi3 fi barek fala rwyal bmsa7a 280 mtr b 5 2wd w 5 hamamet bs3r 7500000 fi 6 2ktwbr
4643,"Twinhouse For Sale In Park Valley Twelve 227 SQM, with 4 bedrooms and 6 bathrooms, priced at 9000000 in 6th of October","توين هاوس للبيع فى بارك فالى 12 بمساحة 227  متر ب 4 أوض و 6 حمامات, بسعر 9000000 في 6 أكتوبر",twyn haws lilbi3 fi barek fala 12 bmsa7a 227 mtr b 4 2wd w 6 hamamet bs3r 9000000 fi 6 2ktwbr
4642,"Standalone For Sale In Park Valley Twelve 253 SQM, with 3 bedrooms and 4 bathrooms, priced at 10000000 in 6th of October","فيلا مستقلة للبيع فى بارك فالى 12 بمساحة 253 متر ب 3 أوض و 4 حمامات, بسعر 10000000 في 6 أكتوبر",fyla mostakilla lilbi3 fi barek fala 12 bmsa7a 253 mtr b 3 2wd w 4 hamamet bs3r 10000000 fi 6 2ktwbr
4641,"374 SQM, with 6 bedrooms and 7 bathrooms, priced at 101379000 in Ras ElHekma","فيلا مستقلة للبيع في هاسيندا وترز 374 متر ب 6 أوض و 7 حمامات, بسعر 101379000 في راس حكمة",fyla mostakilla lilbi3 fi hasynda wtrz 374 mtr b 6 2wd w 7 hamamet bs3r 101379000 fi rass 7ekma
4640,"Chalet For Sale In Hacienda Waters 147 SQM, with 3 bedrooms and 4 bathrooms, priced at 18482000 in Ras ElHekma","شاليه للبيع في هاسيندا وترز 147 متر ب 3 أوض و 4 حمامات, بسعر 18482000 في راس حكمة",shalyh lilbi3 fi hasynda wtrz 147 mtr b 3 2wd w 4 hamamet bs3r 18482000 fi rass 7ekma
4639,"Chalet For Sale In Hacienda Waters 66 SQM, with bedroom and bathroom, priced at 10333000 in Ras ElHekma","شاليه للبيع في هاسيندا وترز 66 متر ب أوضة و حمام, بسعر 10333000 في راس حكمة",shalyh lilbi3 fi hasynda wtrz 66 mtr b 2wda w hamam bs3r 10333000 fi rass 7ekma
4638,"Cabin For Sale In Hacienda Waters 93 SQM, with 2 bedrooms and 3 bathrooms, priced at 40815000 in Ras ElHekma","كابينة للبيع في هاسيندا وترز 93 متر ب أوضتين و 3 حمامات, بسعر 40815000 في راس حكمة",kabyna lilbi3 fi hasynda wtrz 93 mtr b 2wdtyn w 3 hamamet bs3r 40815000 fi rass 7ekma
4637,"Cabin For Sale In Hacienda Waters 42 SQM, with bedroom and bathroom, priced at 17325000 in Ras ElHekma","كابينة للبيع في هاسيندا وترز 42 متر ب أوضة و حمام, بسعر 17325000 في راس حكمة",kabyna lilbi3 fi hasynda wtrz 42 mtr b 2wda w hamam bs3r 17325000 fi rass 7ekma
4636,"Penthouse For Sale In The lark Residence 143 SQM, with 3 bedrooms and 2 bathrooms, priced at 7785000 in Madinaty","بنت هاوس للبيع فى ذا لارك ريسدنس بمساحة 143 متر ب 3 أوض و حمامين, بسعر 7785000 في ماديناتي",bint haws lilbi3 fi dha lark rysdns bmsa7a 143 mtr b 3 2wd w hmamen bs3r 7785000 fi madynaty
4635,"Penthouse For Sale In The lark Residence 115 SQM, with 2 bedrooms and 2 bathrooms, priced at 6525000 in Madinaty","بنت هاوس للبيع فى ذا لارك ريسدنس بمساحة 115 متر ب أوضتين و حمامين, بسعر 6525000 في ماديناتي",bint haws lilbi3 fi dha lark rysdns bmsa7a 115 mtr b 2wdtyn w hmamen bs3r 6525000 fi madynaty
4634,"Apartment For Sale In The lark Residence 186 SQM, with 3 bedrooms and 3 bathrooms, priced at 9039000 in Madinaty","شقة للبيع فى ذا لارك ريسدنس بمساحة 186  متر ب 3 أوض و 3 حمامات, بسعر 9039000 في ماديناتي",sh2a lilbi3 fi dha lark rysdns bmsa7a 186 mtr b 3 2wd w 3 hamamet bs3r 9039000 fi madynaty
4633,"Apartment For Sale In The lark Residence 76 SQM, with bedroom and bathroom, priced at 3420000 in Madinaty","شقة للبيع فى ذا لارك ريسدنس بمساحة 76 متر ب أوضة و حمام, بسعر 3420000 في ماديناتي",sh2a lilbi3 fi dha lark rysdns bmsa7a 76 mtr b 2wda w hamam bs3r 3420000 fi madynaty
4632,"Retail For Sale In Parklane 44  SQM, with bedroom and bathroom, priced at 8200000 in Madinaty","محل تجارى للبيع فى بارك لين بمساحة 44 متر ب أوضة و حمام, بسعر 8200000 في ماديناتي",mahal tgara lilbi3 fi barek liin bmsa7a 44 mtr b 2wda w hamam bs3r 8200000 fi madynaty
4631,"Retail For Sale In Parklane 266 SQM, with 3 bedrooms and 4 bathrooms, priced at 30466000 in Madinaty","محل تجارى للبيع فى بارك لين بمساحة 266 متر ب 3 أوض و 4 حمامات, بسعر 30466000 في ماديناتي",mahal tgara lilbi3 fi barek liin bmsa7a 266 mtr b 3 2wd w 4 hamamet bs3r 30466000 fi madynaty
4630,"Standalone Villa For Sale In west leaves 160 SQM, with 3 bedrooms and 3 bathrooms, priced at 10500000 in Mostakbal City","فيلا مستقلة للبيع فى ويست ليفز بمساحة 160 متر ب 3 أوض و 3 حمامات, بسعر 10500000 في مدينة المستقبل",fyla mostakilla lilbi3 fi wyst lyfz bmsa7a 160 mtr b 3 2wd w 3 hamamet bs3r 10500000 fi madina elmostakbel
4629,"Standalone For Sale In The 101 Mostakabal City 260  SQM, with 3 bedrooms and 3 bathrooms, priced at 34000000 in Madinaty","فيلا مستقلة لبيع فى ذا 101 مدينة المستقبل بمساحة 260 متر ب 3 أوض و 3 حمامات, بسعر 34000000 في ماديناتي",fyla mostakilla lby3 fi dha 101 madina elmostakbel bmsa7a 260 mtr b 3 2wd w 3 hamamet bs3r 34000000 fi madynaty
4628,"Townhouse For Sale In The 101 Mostakabal City 170 SQM, with 4 bedrooms and 4 bathrooms, priced at 17200000 in Madinaty","تاون هاوس للبيع فى ذا 101 مدينة المستقبل بمساحة 170 متر ب 4 أوض و 4 حمامات, بسعر 17200000 في ماديناتي",tawn haws lilbi3 fi dha 101 madina elmostakbel bmsa7a 170 mtr b 4 2wd w 4 hamamet bs3r 17200000 fi madynaty
4627,"Chalet For Sale In Bayside 75 SQM, with bedroom and bathroom, priced at 4500000 in Ain El Sokhna","شاليه للبيع فى باى سايد بمساحة 75 متر ب أوضة و حمام, بسعر 4500000 في العين السخنة",shalyh lilbi3 fi baa sayd bmsa7a 75 mtr b 2wda w hamam bs3r 4500000 fi l3in als5na
4626,"Apartment For Sale In The 101 Mostakbal City 135 SQM, with 3 bedrooms and 2 bathrooms, priced at 7400000 in Madinaty","شقة للبيع فى ذا 101 مدينة المستقبل بمساحة 135 متر ب 3 أوض و حمامين, بسعر 7400000 في ماديناتي",sh2a lilbi3 fi dha 101 madina elmostakbel bmsa7a 135 mtr b 3 2wd w hmamen bs3r 7400000 fi madynaty
