Unit ID,English_Sen,Arabic_Sen
4693,"Townhouse For Sale In Vaha 225 SQM, with 4 bedrooms and 4 bathrooms, priced at 16750000 in Mostakbal City","تاون هاوس للبيع فى فاها بمساحة 225 متر ب 4 أوض و 4 حمامات, بسعر 16750000 في مدينة المستقبل"
4692,"Standalone Villa For Sale In Vaha 384 SQM, with 6 bedrooms and 7 bathrooms, priced at 37701565 in Mostakbal City","فيلا مستقلة للبيع فى فاها بمساحة 384 متر ب 6 أوض و 7 حمامات, بسعر 37701565 في مدينة المستقبل"
4691,"Standalone Villa For Sale In Vaha 283 SQM, with 6 bedrooms and 7 bathrooms, priced at 28197224 in Mostakbal City","فيلا مستقلة للبيع فى فاها بمساحة 283 متر ب 6 أوض و 7 حمامات, بسعر 28197224 في مدينة المستقبل"
4690,"Twinhouse For Sale In Safia 225 SQM, with 5 bedrooms and 4 bathrooms, priced at 31500000 in Ras ElHekma","توين هاوس للبيع في صافية 225 متر ب 5 أوض و 4 حمامات, بسعر 31500000 في راس حكمة"
4689,"Townhouse For Sale In Safia 200 SQM, with 3 bedrooms and 4 bathrooms, priced at 25000000 in Ras ElHekma","تاون هاوس للبيع في صافية 200 متر ب 3 أوض و 4 حمامات, بسعر 25000000 في راس حكمة"
4688,"209 SQM, with 5 bedrooms and 6 bathrooms, priced at 33080000 in Ras ElHekma","توين هاوس للبيع في فيلا 209 متر ب 5 أوض و 6 حمامات, بسعر 33080000 في راس حكمة"
4687,"157 SQM, with 3 bedrooms and 3 bathrooms, priced at 18698000 in Ras ElHekma","شاليه للبيع في ديا 157 متر ب 3 أوض و 3 حمامات, بسعر 18698000 في راس حكمة"
4686,"Standalone Villa For Sale In Geo 234 SQM, with 4 bedrooms and 5 bathrooms, priced at 36587000 in Ras ElHekma","فيلا مستقلة للبيع فى جيو بمساحة 234 متر ب 4 أوض و 5 حمامات, بسعر 36587000 في راس حكمة"
4685,"Chalet For Sale In Geo 281 SQM, with 3 bedrooms and 4 bathrooms, priced at 22747000 in Ras ElHekma","شالية للبيع فى جيو بمساحة 281 متر ب 3 أوض و 4 حمامات, بسعر 22747000 في راس حكمة"
4684,"Standalone Villa For Sale In Geo 202 SQM, with 3 bedrooms and 3 bathrooms, priced at 22825000 in Ras ElHekma","فيلا مستقلة للبيع فى جيو بمساحة 202 متر ب 3 أوض و 3 حمامات, بسعر 22825000 في راس حكمة"
4683,"Chalet For Sale In Geo 140 SQM, with 2 bedrooms and 3 bathrooms, priced at 12935000 in Ras ElHekma","شالية للبيع فى جيو بمساحة 140 متر ب أوضتين و 3 حمامات, بسعر 12935000 في راس حكمة"
4682,"Bank For Sale In Radium 255 SQM, with 4 bedrooms and 4 bathrooms, priced at 73542000 in New Cairo","بنك للبيع في راديوم 255 متر ب 4 أوض و 4 حمامات, بسعر 73542000 في القاهرة الجديدة"
4681,"Bank For Sale In Radium 126 SQM, with bedroom and bathroom, priced at 32445000 in New Cairo","بنك للبيع في راديوم 126 متر ب أوضة و حمام, بسعر 32445000 في القاهرة الجديدة"
4680,"Office For Sale In The Capitalway 60 SQM, with bedroom and bathroom, priced at 8896000 in Madinaty","مكتب ادارى للبيع فى ذا كابيتال واى بمساحة 60 متر ب أوضة و حمام, بسعر 8896000 في ماديناتي"
4679,"Office For Sale In The Capitalway 135 SQM, with 3 bedrooms and 2 bathrooms, priced at 20102000 in Madinaty","مكتب ادارى للبيع فى ذا كابيتال واى بمساحة 135 متر ب 3 أوض و حمامين, بسعر 20102000 في ماديناتي"
4678,"Studio For Sale In Begonia Residence 43 SQM, with bedroom and bathroom, priced at 2800000 in New Cairo","استوديو للبيع فى بيجونيا ريزيدنس بمساحة 43 متر ب أوضة و حمام, بسعر 2800000 في القاهرة الجديدة"
4677,"Apartment For Sale In Begonia Residence 71 SQM, with bedroom and bathroom, priced at 5300000 in New Cairo","شقة للبيع فى بيجونيا ريزيدنس بمساحة 71 متر ب أوضة و حمام, بسعر 5300000 في القاهرة الجديدة"
4676,"Apartment For Sale In Begonia Residence 184 SQM, with 3 bedrooms and 3 bathrooms, priced at 7900000 in New Cairo","شقة للبيع فى بيجونيا ريزيدنس بمساحة 184 متر ب 3 أوض و 3 حمامات, بسعر 7900000 في القاهرة الجديدة"
4675,"Duplex For Sale In Begonia Residence 240 SQM, with 3 bedrooms and 3 bathrooms, priced at 14500000 in New Cairo","دوبلكس للبيع فى بيجونيا ريزيدنس بمساحة 240 متر ب 3 أوض و 3 حمامات, بسعر 14500000 في القاهرة الجديدة"
4674,"316 SQM, with 4 bedrooms and 4 bathrooms, priced at 50302898 in Ain El Sokhna","بنت هاوس للبيع في كاي السخنة 316 متر ب 4 أوض و 4 حمامات, بسعر 50302898 في العين السخنة"
4673,"111 SQM, with bedroom and 2 bathrooms, priced at 10910385 in Ain El Sokhna","لوفت للبيع في كاي السخنة 111 متر ب أوضة و حمامين, بسعر 10910385 في العين السخنة"
4672,"74 SQM, with bedroom and bathroom, priced at 8978938 in Ain El Sokhna","ستوديو للبيع في كاي السخنة 74 متر ب أوضة و حمام, بسعر 8978938 في العين السخنة"
4671,"Penthouse For Sale In The Amaia 251 SQM, with 3 bedrooms and 4 bathrooms, priced at 49727830 in New Cairo","بنت هاوس للبيع في ذا امايا 251 متر ب 3 أوض و 4 حمامات, بسعر 49727830 في القاهرة الجديدة"
4670,"Penthouse For Sale In The Amaia 434 SQM, with 4 bedrooms and 6 bathrooms, priced at 71634628 in New Cairo","بنت هاوس للبيع في ذا امايا 434 متر ب 4 أوض و 6 حمامات, بسعر 71634628 في القاهرة الجديدة"
4669,"Apartment For Sale In The Amaia 291 SQM, with 4 bedrooms and 4 bathrooms, priced at 47425684 in New Cairo","شقة للبيع في ذا أمايا 291 متر ب 4 أوض و 4 حمامات, بسعر 47425684 في القاهرة الجديدة"
4668,"231 SQM, with 3 bedrooms and 3 bathrooms, priced at 35981000 in New Alamein","شقة للبيع في ابراج نورث ايدج العلمين 231 متر ب 3 أوض و 3 حمامات, بسعر 35981000 في العلمين الجديدة"
4667,"Penthouse For Sale In The Phoenix 294 SQM, with 4 bedrooms and 4 bathrooms, priced at 40567543 in New Cairo","بنت هاوس للبيع في ذا فيونيكس 294 متر ب 4 أوض و 4 حمامات, بسعر 40567543 في القاهرة الجديدة"
4666,"Townhouse For Sale In Talda 295 SQM, with 3 bedrooms and 4 bathrooms, priced at 22842201 in Madinaty","تاون هاوس للبيع فى تالدا بمساحة 295 متر ب 3 أوض و 4 حمامات, بسعر 22842201 في ماديناتي"
4665,"Standalone Villa For Sale In At East 370 SQM, with 5 bedrooms and 6 bathrooms, priced at 47752000 in Madinaty","فيلا مستقلة للبيع فى ات ايست بمساحة 370 متر ب 5 أوض و 6 حمامات, بسعر 47752000 في ماديناتي"
4664,"Duplex For Sale In Sun Capital 185 SQM, with 3 bedrooms and 4 bathrooms, priced at 10016000 in Kerdasa","دوبلكس للبيع فى صن كابيتال بمساحة 185 متر ب 3 أوض و 4 حمامات, بسعر 10016000 في كرداسة"
4663,"Apartment For Sale In The Loft 269 SQM, with 3 bedrooms and 3 bathrooms, priced at 12728292 in Madinaty","شقة للبيع في ذا لوفت 269 متر ب 3 أوض و 3 حمامات, بسعر 12728292 في ماديناتي"
4662,"Retail For Sale In Downtown 2, with bedroom and bathroom, priced at 7251020 in Madinaty","محل تجارى للبيع فى داون تاون 2 ب أوضة و حمام, بسعر 7251020 في ماديناتي"
4661,"Retail For Sale In Downtown 2, with bedroom and bathroom, priced at 26666667 in Madinaty","محل تجارى للبيع فى داون تاون مول 2 ب أوضة و حمام, بسعر 26666667 في ماديناتي"
4660,"Office For Sale In Striple Mall 43 SQM, with bedroom and bathroom, priced at 3748500 in Madinaty","مكتب ادارى للبيع فى ستربيل مول 43 متر ب أوضة و حمام, بسعر 3748500 في ماديناتي"
4659,"Office For Sale In Striple Mall 48 SQM, with bedroom and bathroom, priced at 6030467 in Madinaty","مكتب ادارى للبيع فى ستربيل مول 48 متر ب أوضة و حمام, بسعر 6030467 في ماديناتي"
4658,"Clinic For Sale In Spinner Mall 45 SQM, with bedroom and bathroom, priced at 3630000 in Masr El-Gedida","عيادة طبية  للبيع فى سبينر مول بمساحة 45 متر ب أوضة و حمام, بسعر 3630000 في مصر إلجديدة"
4657,"Retail For Sale In Spinner Mall 42 SQM, with bedroom and bathroom, priced at 11700000 in Masr El-Gedida","محل تجارى للبيع فى سبينر مول بمساحة 42 متر ب أوضة و حمام, بسعر 11700000 في مصر إلجديدة"
4656,"Retail For Sale In Spinner Mall 42 SQM, with bedroom and bathroom, priced at 5370000 in Masr El-Gedida","محل تجارى للبيع فى سبينر مول بمساحة 42 متر ب أوضة و حمام, بسعر 5370000 في مصر إلجديدة"
4655,"Office For Sale In Spinner Mall 45 SQM, with bedroom and bathroom, priced at 3100000 in Masr El-Gedida","مكتب ادارى للبيع فى سبينر مول بمساحة 45 متر ب أوضة و حمام, بسعر 3100000 في مصر إلجديدة"
4654,"Townhouse For Sale In Sheraton Residences 362 SQM, with 3 bedrooms and 4 bathrooms, priced at 48000000 in Madinaty","تاون هاوس للبيع في شيراتون ريسدنس بمساحة 362 متر ب 3 أوض و 4 حمامات, بسعر 48000000 في ماديناتي"
4653,"Townhouse For Sale In Sheraton Residences 403 SQM, with 3 bedrooms and 4 bathrooms, priced at 53400000 in Madinaty","تاون هاوس للبيع في شيراتون ريسدنس بمساحة 403 متر ب 3 أوض و 4 حمامات, بسعر 53400000 في ماديناتي"
4652,"Standalone Villa For Sale In Sheraton Residences 166 SQM, with 2 bedrooms and 3 bathrooms, priced at 25300000 in Madinaty","فيلا مستقلة للبيع في شيراتون ريسدنس بمساحة 166 متر ب أوضتين و 3 حمامات, بسعر 25300000 في ماديناتي"
4651,"Standalone Villa For Sale In Sheraton Residences 482 SQM, with 4 bedrooms and 5 bathrooms, priced at 71500000 in Madinaty","فيلا مستقلة للبيع في شيراتون ريسدنس بمساحة 482 متر ب 4 أوض و 5 حمامات, بسعر 71500000 في ماديناتي"
4650,"Twinhouse For Sale In Sheraton Residences 440 SQM, with 4 bedrooms and 4 bathrooms, priced at 60700000 in Madinaty","توين هاوس للبيع فى شيراتون ريسدنس بمساحة 440 متر ب 4 أوض و 4 حمامات, بسعر 60700000 في ماديناتي"
4649,"Office For Sale In Central Point 39 SQM, with bedroom and bathroom, priced at 4848644 in Madinaty","مكتب ادارى للبيع فى سنترال بوينت بمساحة 39 متر ب أوضة و حمام, بسعر 4848644 في ماديناتي"
4648,"Office For Sale In 88 Hub Mall 42 SQM, with bedroom and bathroom, priced at 5040000 in Madinaty","مكتب ادارى  للبيع فى هاب 88 مول بمساحة 42 متر ب أوضة و حمام, بسعر 5040000 في ماديناتي"
4647,"282 SQM, with 4 bedrooms and 4 bathrooms, priced at 24560029 in New Cairo","دوبلكس للبيع في بافيليون 282 متر ب 4 أوض و 4 حمامات, بسعر 24560029 في القاهرة الجديدة"
4646,"Twinhouse For Sale In Park Valley Elite 245 SQM, with 3 bedrooms and 4 bathrooms, priced at 6500000 in 6th of October","توين هاوس للبيع فى بارك فالى ايليت بمساحة 245 متر ب 3 أوض و 4 حمامات, بسعر 6500000 في 6 أكتوبر"
4645,"Twinhouse For Sale In Park Valley Royal 230 SQM, with 4 bedrooms and 4 bathrooms, priced at 6500000 in 6th of October","توين هاوس للبيع فى بارك فالى رويال بمساحة 230 متر ب 4 أوض و 4 حمامات, بسعر 6500000 في 6 أكتوبر"
4644,"Standalone Villa For Sale In Park Valley Royal 280 SQM, with 5 bedrooms and 5 bathrooms, priced at 7500000 in 6th of October","فيلا مستقلة للبيع فى بارك فالى رويال بمساحة 280 متر ب 5 أوض و 5 حمامات, بسعر 7500000 في 6 أكتوبر"
4643,"Twinhouse For Sale In Park Valley Twelve 227 SQM, with 4 bedrooms and 6 bathrooms, priced at 9000000 in 6th of October","توين هاوس للبيع فى بارك فالى 12 بمساحة 227  متر ب 4 أوض و 6 حمامات, بسعر 9000000 في 6 أكتوبر"
4642,"Standalone For Sale In Park Valley Twelve 253 SQM, with 3 bedrooms and 4 bathrooms, priced at 10000000 in 6th of October","فيلا مستقلة للبيع فى بارك فالى 12 بمساحة 253 متر ب 3 أوض و 4 حمامات, بسعر 10000000 في 6 أكتوبر"
4641,"374 SQM, with 6 bedrooms and 7 bathrooms, priced at 101379000 in Ras ElHekma","فيلا مستقلة للبيع في هاسيندا وترز 374 متر ب 6 أوض و 7 حمامات, بسعر 101379000 في راس حكمة"
4640,"Chalet For Sale In Hacienda Waters 147 SQM, with 3 bedrooms and 4 bathrooms, priced at 18482000 in Ras ElHekma","شاليه للبيع في هاسيندا وترز 147 متر ب 3 أوض و 4 حمامات, بسعر 18482000 في راس حكمة"
4639,"Chalet For Sale In Hacienda Waters 66 SQM, with bedroom and bathroom, priced at 10333000 in Ras ElHekma","شاليه للبيع في هاسيندا وترز 66 متر ب أوضة و حمام, بسعر 10333000 في راس حكمة"
4638,"Cabin For Sale In Hacienda Waters 93 SQM, with 2 bedrooms and 3 bathrooms, priced at 40815000 in Ras ElHekma","كابينة للبيع في هاسيندا وترز 93 متر ب أوضتين و 3 حمامات, بسعر 40815000 في راس حكمة"
4637,"Cabin For Sale In Hacienda Waters 42 SQM, with bedroom and bathroom, priced at 17325000 in Ras ElHekma","كابينة للبيع في هاسيندا وترز 42 متر ب أوضة و حمام, بسعر 17325000 في راس حكمة"
4636,"Penthouse For Sale In The lark Residence 143 SQM, with 3 bedrooms and 2 bathrooms, priced at 7785000 in Madinaty","بنت هاوس للبيع فى ذا لارك ريسدنس بمساحة 143 متر ب 3 أوض و حمامين, بسعر 7785000 في ماديناتي"
4635,"Penthouse For Sale In The lark Residence 115 SQM, with 2 bedrooms and 2 bathrooms, priced at 6525000 in Madinaty","بنت هاوس للبيع فى ذا لارك ريسدنس بمساحة 115 متر ب أوضتين و حمامين, بسعر 6525000 في ماديناتي"
4634,"Apartment For Sale In The lark Residence 186 SQM, with 3 bedrooms and 3 bathrooms, priced at 9039000 in Madinaty","شقة للبيع فى ذا لارك ريسدنس بمساحة 186  متر ب 3 أوض و 3 حمامات, بسعر 9039000 في ماديناتي"
4633,"Apartment For Sale In The lark Residence 76 SQM, with bedroom and bathroom, priced at 3420000 in Madinaty","شقة للبيع فى ذا لارك ريسدنس بمساحة 76 متر ب أوضة و حمام, بسعر 3420000 في ماديناتي"
4632,"Retail For Sale In Parklane 44  SQM, with bedroom and bathroom, priced at 8200000 in Madinaty","محل تجارى للبيع فى بارك لين بمساحة 44 متر ب أوضة و حمام, بسعر 8200000 في ماديناتي"
4631,"Retail For Sale In Parklane 266 SQM, with 3 bedrooms and 4 bathrooms, priced at 30466000 in Madinaty","محل تجارى للبيع فى بارك لين بمساحة 266 متر ب 3 أوض و 4 حمامات, بسعر 30466000 في ماديناتي"
4630,"Standalone Villa For Sale In west leaves 160 SQM, with 3 bedrooms and 3 bathrooms, priced at 10500000 in Mostakbal City","فيلا مستقلة للبيع فى ويست ليفز بمساحة 160 متر ب 3 أوض و 3 حمامات, بسعر 10500000 في مدينة المستقبل"
4629,"Standalone For Sale In The 101 Mostakabal City 260  SQM, with 3 bedrooms and 3 bathrooms, priced at 34000000 in Madinaty","فيلا مستقلة لبيع فى ذا 101 مدينة المستقبل بمساحة 260 متر ب 3 أوض و 3 حمامات, بسعر 34000000 في ماديناتي"
4628,"Townhouse For Sale In The 101 Mostakabal City 170 SQM, with 4 bedrooms and 4 bathrooms, priced at 17200000 in Madinaty","تاون هاوس للبيع فى ذا 101 مدينة المستقبل بمساحة 170 متر ب 4 أوض و 4 حمامات, بسعر 17200000 في ماديناتي"
4627,"Chalet For Sale In Bayside 75 SQM, with bedroom and bathroom, priced at 4500000 in Ain El Sokhna","شاليه للبيع فى باى سايد بمساحة 75 متر ب أوضة و حمام, بسعر 4500000 في العين السخنة"
4626,"Apartment For Sale In The 101 Mostakbal City 135 SQM, with 3 bedrooms and 2 bathrooms, priced at 7400000 in Madinaty","شقة للبيع فى ذا 101 مدينة المستقبل بمساحة 135 متر ب 3 أوض و حمامين, بسعر 7400000 في ماديناتي"
4625,"Apartment For Sale In The 101 Mostakbal City 113 SQM, with 2 bedrooms and bathroom, priced at 6150000 in Madinaty","شقة للبيع فى ذا 101 مدينة المستقبل  بمساحة 113 متر ب أوضتين و حمام, بسعر 6150000 في ماديناتي"
4624,"Townhouse For Sale In Nyoum Mostakbal 294 SQM, with 5 bedrooms and 4 bathrooms, priced at 22050000 in Madinaty","تاون هاوس للبيع في نيوم مستقبل سيتي 294 متر ب 5 أوض و 4 حمامات, بسعر 22050000 في ماديناتي"
4623,"Townhouse For Sale In Nyoum Mostakbal 120 SQM, with 3 bedrooms and 3 bathrooms, priced at 9000000 in Madinaty","تاون هاوس للبيع في نيوم مستقبل سيتي 120 متر ب 3 أوض و 3 حمامات, بسعر 9000000 في ماديناتي"
4622,"Loft For Sale In Club Hills Residence 230 SQM, with 4 bedrooms and 4 bathrooms, priced at 16000000 in 6th of October","لوفت للبيع فى كلوب هيلز ريزيدنس 230 متر ب 4 أوض و 4 حمامات, بسعر 16000000 في 6 أكتوبر"
4621,"Townhouse For Sale In Club Hills Residence 240 SQM, with 3 bedrooms and 3 bathrooms, priced at 22500000 in 6th of October","تاون هاوس للبيع فى كلوب هيلز ريزيدنس 240 متر ب 3 أوض و 3 حمامات, بسعر 22500000 في 6 أكتوبر"
4620,"Townhouse For Sale In Club Hills Residence 190 SQM, with 3 bedrooms and 3 bathrooms, priced at 16500000 in 6th of October","تاون هاوس للبيع فى كلوب هيلز ريزيدنس 190 متر ب 3 أوض و 3 حمامات, بسعر 16500000 في 6 أكتوبر"
4619,"Duplex For Sale In Club Hills Residence 175 SQM, with 3 bedrooms and 2 bathrooms, priced at 15000000 in 6th of October","دوبلكس للبيع فى كلوب هيلز ريزيدنس 175 متر ب 3 أوض و حمامين, بسعر 15000000 في 6 أكتوبر"
4618,"Apartment For Sale In Club Hills Residence 165 SQM, with 3 bedrooms and 4 bathrooms, priced at 11600000 in 6th of October","شقة للبيع فى كلوب هيلز ريزيدنس 165 متر ب 3 أوض و 4 حمامات, بسعر 11600000 في 6 أكتوبر"
4617,"Apartment For Sale In Club Hills Residence 115 SQM, with 2 bedrooms and 2 bathrooms, priced at 8000000 in 6th of October","شقة للبيع فى كلوب هيلز ريزيدنس 115 متر ب أوضتين و حمامين, بسعر 8000000 في 6 أكتوبر"
4616,"Standalone Villa For Sale In koun 150 SQM, with 3 bedrooms and 3 bathrooms, priced at 25000000 in Ras ElHekma","فيلا مستقلة  للبيع فى كون بمساحة 150 متر ب 3 أوض و 3 حمامات, بسعر 25000000 في راس حكمة"
4615,"TwinHouse For Sale In Koun 188 SQM, with 4 bedrooms and 3 bathrooms, priced at 30800000 in Ras ElHekma","توين هاوس للبيع فى كون بمساحة 188 متر ب 4 أوض و 3 حمامات, بسعر 30800000 في راس حكمة"
4614,"268 SQM, with 4 bedrooms and 4 bathrooms, priced at 47080000 in Ras ElHekma","توين هاوس للبيع في اوجامي 268 متر ب 4 أوض و 4 حمامات, بسعر 47080000 في راس حكمة"
4613,"Twinhouse For Sale In Ogami 268 SQM, with 4 bedrooms and 4 bathrooms, priced at 51370000 in Ras ElHekma","توين هاوس للبيع في اوجامي 268 متر ب 4 أوض و 4 حمامات, بسعر 51370000 في راس حكمة"
4612,"Standalone Villa For Sale In Ogami 394 SQM, with 5 bedrooms and 7 bathrooms, priced at 208780000 in Ras ElHekma","فيلا مستقلة للبيع في اوجامي 394 متر ب 5 أوض و 7 حمامات, بسعر 208780000 في راس حكمة"
4611,"Standalone Villa For Sale In Ogami 254 SQM, with 3 bedrooms and 4 bathrooms, priced at 55440000 in Ras ElHekma","فيلا مستقلة للبيع في اوجامي 254 متر ب 3 أوض و 4 حمامات, بسعر 55440000 في راس حكمة"
4610,"TwinhouseFor Sale In Sun Capital 300 SQM, with 3 bedrooms and 3 bathrooms, priced at 41000000 in Kerdasa","توين هاوس للبيع في صن كابيتال 300متر ب 3 أوض و 3 حمامات, بسعر 41000000 في كرداسة"
4609,"Q Villa For Sale In Sun Capital 188 SQM, with 3 bedrooms and 6 bathrooms, priced at 18200000 in Kerdasa","فيلا مستقلة للبيع في صن كابيتال 188 متر ب 3 أوض و 6 حمامات, بسعر 18200000 في كرداسة"
4608,"Standalone For Sale In Sun Capital 400 SQM, with 3 bedrooms and 6 bathrooms, priced at 71000000 in Kerdasa","فيلا مستقلة للبيع في صن كابيتال 400 متر ب 3 أوض و 6 حمامات, بسعر 71000000 في كرداسة"
4607,"Duplex For Sale In Koun 120 SQM, with 3 bedrooms and 3 bathrooms, priced at 19000000 in Ras ElHekma","دوبلكس للبيع فى كون بمساحة 120 متر ب 3 أوض و 3 حمامات, بسعر 19000000 في راس حكمة"
4606,"Standalone Villa For Sale In Park Valley Elite 285 SQM, with 3 bedrooms and 3 bathrooms, priced at 7500000 in 6th of October","فيلا مستقلة للبيع فى بارك فالى ايليت بمساحة 285 متر ب 3 أوض و 3 حمامات, بسعر 7500000 في 6 أكتوبر"
4605,"Twinhouse For Sale In Summer 185 SQM, with 3 bedrooms and 4 bathrooms, priced at 31083000 in Ras ElHekma","توين هاوس للبيع فى سمر بمساحة 185 متر ب 3 أوض و 4 حمامات, بسعر 31083000 في راس حكمة"
4604,"Apartment For Sale In Crowne Plaza 70 SQM, with bedroom and bathroom, priced at 11200000 in New Cairo","شقة للبيع فى كراون بلازا بمساحة 70 متر ب أوضة و حمام, بسعر 11200000 في القاهرة الجديدة"
4603,"Apartment For Sale In Crowne Plaza 129 SQM, with 2 bedrooms and 2 bathrooms, priced at 15253392 in New Cairo","شقة للبيع فى كراون بلازا بمساحة 129 متر ب أوضتين و حمامين, بسعر 15253392 في القاهرة الجديدة"
4602,"Duplex For Sale In Terrace 260 SQM, with 3 bedrooms and 3 bathrooms, priced at 17966499 in Mostakbal City","دوبلكس للبيع فى تراس بمساحة 260 متر ب 3 أوض و 3 حمامات, بسعر 17966499 في مدينة المستقبل"
4601,"Duplex For Sale In Terrace 250 SQM, with 3 bedrooms and 3 bathrooms, priced at 16216500 in Mostakbal City","دوبلكس للبيع فى تراس بمساحة 250 متر ب 3 أوض و 3 حمامات, بسعر 16216500 في مدينة المستقبل"
4600,"Clinic For Sale In Terrace 75  SQM, with bedroom and bathroom, priced at 8747250 in Mostakbal City","عيادة طبية للبيع فى تراس بمساحة 75 متر ب أوضة و حمام, بسعر 8747250 في مدينة المستقبل"
4599,"Clinic For Sale In Terrace 43 SQM, with bedroom and bathroom, priced at 4601000 in Mostakbal City","عيادة طبية للبيع فى تراس بمساحة 43 متر ب أوضة و حمام, بسعر 4601000 في مدينة المستقبل"
4598,"Shop For Sale In The Gray 542 SQM, with 5 bedrooms and 6 bathrooms, priced at 173440000 in New Cairo","محل تجارى للبيع فى ذا جراى بمساحة 542 متر ب 5 أوض و 6 حمامات, بسعر 173440000 في القاهرة الجديدة"
4597,"Retail For Sale In The Gray 44 SQM, with bedroom and bathroom, priced at 11440000 in New Cairo","محل تجارى للبيع فى ذا جراى بمساحة 44 متر ب أوضة و حمام, بسعر 11440000 في القاهرة الجديدة"
4596,"Clinic For Sale In The Gary 136 SQM, with 2 bedrooms and 2 bathrooms, priced at 21624000 in New Cairo","عيادة طبية للبيع فى ذا جراى بمساحة 136 متر ب أوضتين و حمامين, بسعر 21624000 في القاهرة الجديدة"
4595,"Clinic For Sale In The Gary 38 SQM, with bedroom and bathroom, priced at 6650000 in New Cairo","عيادة طبية للبيع فى ذا جراى بمساحة 38 متر ب أوضة و حمام, بسعر 6650000 في القاهرة الجديدة"
4594,"Office For Sale In The Gray 1361 SQM, with bedroom and bathroom, priced at 238175000 in New Cairo","مكتب ادارى للبيع فى ذا جراى بمساحة 1361 متر ب أوضة و حمام, بسعر 238175000 في القاهرة الجديدة"
4593,"Office For Sale In The Gray 30 SQM, with 3 bedrooms and 4 bathrooms, priced at 4980000 in New Cairo","مكتب ادارى للبيع فى ذا جراى بمساحة 30 متر ب 3 أوض و 4 حمامات, بسعر 4980000 في القاهرة الجديدة"
4592,"Duplex For Sale In SQ1 New Cairo 243 SQM, with 3 bedrooms and 3 bathrooms, priced at 32676458 in New Cairo","دوبلكس للبيع فى اس كيو 1 بمساحة 243 متر ب 3 أوض و 3 حمامات, بسعر 32676458 في القاهرة الجديدة"
4591,"Apartment For Sale In SQ1 New Cairo 174 SQM, with bedroom and bathroom, priced at 26792401 in New Cairo","شقة للبيع فى اس كيو 1 بمساحة 174 متر ب أوضة و حمام, بسعر 26792401 في القاهرة الجديدة"
4590,"Apartment For Sale In SQ1 New Cairo 75 SQM, with 3 bedrooms and 4 bathrooms, priced at 9039592 in New Cairo","شقة للبيع فى اس كيو 1 بمساحة 75 متر ب 3 أوض و 4 حمامات, بسعر 9039592 في القاهرة الجديدة"
4589,"Townhouse For Sale In Talda 275 SQM, with 2 bedrooms and 3 bathrooms, priced at 18767093 in Madinaty","تاون هاوس للبيع فى تالدا بمساحة 275 متر ب أوضتين و 3 حمامات, بسعر 18767093 في ماديناتي"
